,Bread,Cheese,Ground Beef,cheese burger ,1% fat milk,red apple,edamame,mini carrot,mandarin,cauliflower,celery stick,bosc pear ,orange,jicama stick,spinach ,kiwi,bartlett peat
SFA 12:0,,,,,0.026,,,0.0,0.0,,0.0,,,0.0,,,
SFA 14:0,,,,,0.093,,,0.0,0.002,,0.001,,,0.0,,,
SFA 16:0,,,,,0.265,,,0.03,0.035,,0.037,,,0.018,,,
SFA 18:0,,,,,0.096,,,0.002,0.002,,0.004,,,0.002,,,
SFA 4:0,,,,,0.022,,,0.0,0.0,,0.0,,,0.0,,,
SFA 6:0,,,,,0.015,,,0.0,0.0,,0.0,,,0.0,,,
SFA 8:0,,,,,0.011,,,0.0,0.0,,0.0,,,0.0,,,
"Selenium, Se",,,,,2.1,,,0.1,0.1,,0.4,,,0.7,,,0.2
Serine,,,,,,,,,0.033,,,,,,,,0.016
"Sodium, Na",247.0,600.0,67.0,485.0,39.0,0.0,6.0,69.0,2.0,24.0,80.0,0.0,381.0,4.0,76.0,140.0,7.0
Starch,,,,,,,,,0.0,,,,,,,,
Sucrose,,,,,,1.319,,,6.05,,,,,,,,0.43
"Sugars, Total",,,,,,12.221,,,,,,,,,,,9.69
"Sugars, total including NLEA",15.29,0.0,,4.62,4.96,12.22,2.35,4.74,10.58,2.35,1.34,9.64,90.48,1.8,0.0,66.67,
Theobromine,,,,,0.0,,,0.0,0.0,,0.0,,,0.0,,,
Thiamin,,,,,0.057,0.00875,,0.066,0.058,,0.021,,,0.02,,,0.012
Threonine,,,,,,,,,0.016,,,,,,,,0.013
"Tocopherol, beta",,,,,,,,,0.0,,,,,,,,
"Tocopherol, delta",,,,,,,,,0.0,,,,,,,,
"Tocopherol, gamma",,,,,,,,,0.0,,,,,,,,
"Tocotrienol, alpha",,,,,,,,,0.05,,,,,,,,
"Tocotrienol, beta",,,,,,,,,0.0,,,,,,,,
"Tocotrienol, delta",,,,,,,,,0.0,,,,,,,,
"Tocotrienol, gamma",,,,,,,,,0.0,,,,,,,,
Total lipid (fat),7.06,33.33,8.93,10.77,0.95,0.2125,4.71,0.24,0.31,0.0,0.17,0.0,0.0,0.09,0.0,0.0,0.16
Tryptophan,,,,,,,,,0.002,,,,,,,,0.002
Tyrosine,,,,,,,,,0.015,,,,,,,,0.002
Valine,,,,,,,,,0.021,,,,,,,,0.019
"Vitamin A, IU",0.0,,,77.0,,,,,681.0,,,0.0,,,,0.0,
"Vitamin A, RAE",,,,,58.0,,,835.0,34.0,,22.0,,,1.0,,,1.0
Vitamin B-12,,,,,0.61,,,0.0,0.0,,0.0,,,0.0,,,
"Vitamin B-12, added",,,,,0.0,,,0.0,0.0,,0.0,,,0.0,,,
Vitamin B-6,,,,,0.06,0.02131,,0.138,0.078,,0.074,,,0.042,,,0.026
"Vitamin C, total ascorbic acid",1.4,,,0.9,0.0,,,5.9,26.7,,3.1,3.6,,20.2,28.2,4.0,4.4
Vitamin D (D2 + D3),,,,,1.1,,,0.0,0.0,,0.0,,,0.0,,,
"Vitamin D (D2 + D3), International Units",,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,
Vitamin E (alpha-tocopherol),,,,,0.02,,,0.66,0.2,,0.27,,,0.46,,,
"Vitamin E, added",,,,,0.0,,,0.0,0.0,,0.0,,,0.0,,,
Vitamin K (Dihydrophylloquinone),,,,,,,,,0.0,,,,,,,,0.0
Vitamin K (phylloquinone),,,,,0.1,,,13.2,0.0,,29.3,,,0.3,483.5,,3.8
Vitamins and Other Components,,,,,,0.0,,,0.0,,,,,,,,0.0
Water,,,,,89.7,84.67,,88.3,85.17,,95.4,,,90.1,,,84.1
"Zinc, Zn",,,,,0.43,0.01964,,0.24,0.07,,0.13,,,0.16,,,0.07
